Päivämäärä, Sää, Ylin, Alin, Tuuli
Pe 30.7.,Pilvistä, runsasta sadetta,+17°,+17°,4 m/s
La 31.7.,Puolipilvistä, ajoittain sadetta,+18°,+18°,2 m/s
Su 1.8.,Melko pilvistä, ajoittaista sadetta,+20°,+20°,4 m/s
Ma 2.8.,Pilvistä, ajoittaista sadetta,+18°,+18°,3 m/s
Ti 3.8.,Pilvistä, runsasta sadetta,+15°,+15°,9 m/s
Ke 4.8.,Melko pilvistä ja poutaa,+16°,+16°,7 m/s
To 5.8.,Puolipilvistä ja poutaa,+18°,+18°,4 m/s
Pe 6.8.,Melkein selkeää ja poutaa,+19°,+19°,3 m/s
La 7.8.,Melko pilvistä, ajoittaista sadetta,+19°,+19°,6 m/s
Su 8.8.,Melko pilvistä, ajoittaista sadetta,+20°,+20°,5 m/s
