theme,url,img,lines,author
GET OUTSIDE,/inspirational-quotes/8132-now-i-know-the-secret-of-making-the-best,https://assets.passiton.com/quotes/quote_artwork/8132/medium/20200924_thursday_quote.jpg?1600453544,Now I know the secret of making the best persons; it is to grow in the open air and to eat and sleep with the Earth.,<Author:0x00007f248292bf78>
GET OUTSIDE,/inspirational-quotes/8131-i-firmly-believe-that-nature-brings-solace-in,https://assets.passiton.com/quotes/quote_artwork/8131/medium/20200923_wednesday_quote.jpg?1600453521,I firmly believe that nature brings solace in all troubles.,<Author:0x00007f24829350c8>
GET OUTSIDE,/inspirational-quotes/7123-wilderness-is-not-a-luxury-but-a-necessity-of,https://assets.passiton.com/quotes/quote_artwork/7123/medium/20200922_tuesday_quote.jpg?1600453486,"Wilderness is not a luxury, but a necessity of the human spirit.",<Author:0x00007f248294b990>
GET OUTSIDE,/inspirational-quotes/8130-live-in-the-sunshine-swim-in-the-sea-drink,https://assets.passiton.com/quotes/quote_artwork/8130/medium/20200921_monday_quote.jpg?1600453130,"Live in the sunshine, swim in the sea, drink the wild air’s salubrity.",<Author:0x00007f248295fb20>
BEING THERE,/inspirational-quotes/3685-lifes-most-urgent-question-is-what-are-you,https://assets.passiton.com/quotes/quote_artwork/3685/medium/20200918_friday_quote.jpg?1599677031,Life's most urgent question is: What are you doing for others?,<Author:0x00007f248296f6b0>
BEING THERE,/inspirational-quotes/8129-it-s-good-to-be-blessed-it-s-better-to-be-a,https://assets.passiton.com/quotes/quote_artwork/8129/medium/20200917_thursday_quote.jpg?1599676277,It’s good to be blessed. It’s better to be a blessing.,<Author:0x00007f248297e868>
BEING THERE,/inspirational-quotes/7703-if-youre-not-making-someone-elses-life-better,https://assets.passiton.com/quotes/quote_artwork/7703/medium/20200916_wednesday_quote.jpg?1599676255,"If you're not making someone else's life better, then you're wasting your time. Your life will become better by making other lives better.",<Author:0x00007f248298e380>
BEING THERE,/inspirational-quotes/5347-only-a-life-lived-for-others-is-worth-living,https://assets.passiton.com/quotes/quote_artwork/5347/medium/20200915_tuesday_quote.jpg?1599676228,Only a life lived for others is worth living.,<Author:0x00007f24829adbb8>
BEING THERE,/inspirational-quotes/8128-there-is-nothing-more-beautiful-than-someone,https://assets.passiton.com/quotes/quote_artwork/8128/medium/20200914_monday_quote.jpg?1599676207,There is nothing more beautiful than someone who goes out of their way to make life beautiful for others.,<Author:0x00007f24829cc888>
HEALTH,/inspirational-quotes/7548-health-and-cheerfulness-naturally-beget-each,https://assets.passiton.com/quotes/quote_artwork/7548/medium/20200911_friday_quote.jpg?1599090407,Health and cheerfulness naturally beget each other.,<Author:0x00007f24829fa350>
